"id","genres"
"78Y1NpgD0yMKoBetaYlUzS",funk paulista
"43DRDu6nLSeIedZ7T1A616","arrocha,forro,forro de favela,funk carioca"
"0dNyaMJp0r9zBYG86JgRDI","funk carioca,funk consciente,funk paulista"
"5e9fQ7H6ynkMPiZM2ADQDm",trap brasileiro
"0PNcEYeVDBqbywI00Y3ANT",trap brasileiro
"7v4hw85pzG0M9kJHlBGsi3",funk mtg
"2OTaGBs7DQkUYV63K7BQVv",rave funk
"5Bu531hmIZDhu7yEEmPHm0",funk mtg
"0IhzJFf4QBEz0ifqLwScKV",rave funk
"4PLdCloYxu2bMKfuuB9lI5","funk consciente,funk paulista"
"48H2LKju3qH1hMJhhnhYvY",funk mtg
"0aEDa47F4RWuk4Udm0SEoH","chill baile,trap funk"
"0xXEI1dXDaCOmkIPNYtPWF","rap feminino nacional,rap mineiro"
"4vU3LV354CpezI42tPRiVN",funk rj
"38KlCsh4vAknywZfVbJuvH",lambadao
"1SXhEXzOTF7YeuQX59m7pT",forro
"6j2S2PjYFjQdge0HPc4IRK",funk carioca
"4jxavP0DgDmPzx11P5HYxS","funk mtg,funk rj,funk viral"
"6WIjKbyqeO9MkfNMFJsF50",funk rj
"6t0Zo9vl0h5qUavwMjQPLz","funk 150 bpm,rave funk"
"6ydoSd3N2mwgwBHtF6K7eX",pop
"0iZz25uH5PLaShpqq84uYv","brazilian hip hop,funk carioca"
"57mkZiyi1RbNRp58F3RACm",piseiro
"1b8S7EPzdckRyIh0uSbOMI",
"4JBL9SoZVzV14jqKe77LGG","arrochadeira,forro"
"3roCHPNwTqMEBs3MhcQCeO",
"0VlljnadDEDOcDVGTFQE8T",
"5g1Ojx0MsvmNEjnVKGmHVw",
"6cBgK7jLKrcynjD5E6mKNu",
"5l8uNQWdIozojTbL2tzBa7",
"6akRUh5g0XiVQaZj6U23fd",
"5SholNdfQZrHBSrOJ6C34X",
"1m2ae8UiHCWhIARPw33Xhx",
"0p0wrJX8lQEIbxCHU7JzIA",
"6EjGbKRm2EruQW0ZAIKzoK",
"0YOr5sV4zMMyj5xviWiFjW",
"1szIIFdhWodOHfQUDn39ib",
"2f88CSOFEgN0ATmxgXaCTb",
"0xqfPNw8PlhGeWAucPrbkr",
"3UfwtvPZZea2HHwI23VtKP",
"5iR3NEmAFbIBa7v8y3fRbM",
"5AWdsNtZ3cFCrvGQovuPzu",
"0QTxqtxb1Ynangd0fpm3PM",
"5coW9ioCpvEYGx4v1nvWec",
"0nppFBXdpNggDY3LdjX29c",
"12ayBbABWnctytOKqQwMyr",
"7Bcxsb61NAnVziEUPVvbIw",
"6IlN4Mij49rPYznzeOMD1F",
"5ZN9qsKINzpikhHsCBvYpW",
"0ByBhGIqP8T6O0YZWnAMCR",
"5Rs4gTYf15iES8jXZqhx2L",
"1vzbmGlmb0yoO6drUgxm5C",
"0TfWqqSFcyuhcNnp5oL83k",
"6IARCys83hSamwkFJYAdj4",
"1IDgBR9gfIJOS5lB7SwE6W",
"5HevMdws455L9tIAE1nEwu",
"7Eli9jWjQ5F1d06clIH46R",pop lgbtq+ brasileira
"3l4fsEzoeabsET7ddv0lZW","funk mandelao,funk mtg,phonk brasileiro"
"0OYVtrqGQ97ub2QGLNbOql",funk mtg
"1K3wppIvsUK99HODkiNgeu","funk bh,funk mtg"
"0n57jUvvtDjkdrnbV7kOvB",funk mtg
"07hde6KjeHapJ75M3jSfFl","funk bh,funk mtg"
"24L3YrvlTuAzCPmZyiLTWS",funk viral
"4Gso3d4CscCijv0lmajZWs","pop rap,rap,trap"
"72ipMVQcFmP8kVnlHbcV3q","funk bh,funk mtg,funk rj"
"70Xuy7hYKF1SMmWsrIuwit","funk carioca,funk ostentacao,funk paulista"
"1boMFBiRXiba4RCcPs5DMm",funk mtg
"2DMQ1LeygTDGeyErwBwaeG","deboxe,funk mtg,funk paulista"
"3zvsV2QKvNELyByQFLSRou","funk bh,funk mtg"
"0JjPiLQNgAFaEkwoy56B1C","funk rj,pop rap brasileiro,trap brasileiro"
"6f6ccYxDNgsPCMemKceSY4","funk carioca,funk ostentacao,pagode"
"6Us5Zsn5MAHBk7SHBUsG5X","funk carioca,funk rj"
"26dSoYclwsYLMAKD3tpOr4","dance pop,pop"
"27azwwkxutWL1BWMkgNIh0",trap brasileiro
"48r1nXoaPXPSx1LoM0Rnzl",trap brasileiro
"6nZ39vMOOOgXQ471Jy5jhR",trap brasileiro
"5wEgjH2s4SAiffRmzkBqHB",trap brasileiro
"4dnPDc045bVjibyATxVUOs","arrocha,forro"
"4KDxYlnGZEiS60pAnfZf4W","arrocha,forro"
"37mqXU98U5GmH5ZDtlHM1c","arrocha,forro"
"5itNRAG8DPcD6Yrm1rFPLv",trap brasileiro
"0BMccF4OSgl180EzdVFY9m",trap brasileiro
"68PYmgkbRP1qZnEWOry7sB","funk carioca,trap brasileiro"
"4yGgbQJMq9orWypwqtdzYT",trap brasileiro
"2MUXvv3lFulPYMUCtNrEBu","deboxe,funk mandelao,funk mtg,funk viral"
"6bmZfABIjvLMAMYwujdjFy","deboxe,funk 150 bpm,funk mtg"
"6ZiGAU6TJQEyidFQ22eIOS","deboxe,funk mtg,rave funk"
"460m2YG30duLCuHwFdiLgX",trap brasileiro
"05qCf6M7E7AxizHVmrcPqh","grime brasileiro,trap pesado"
"1xezfhrRJTpRtYZPplWHcJ",trap brasileiro
"0lHB0Qc4pmD5RkTLlHeESo","funk bh,funk carioca,funk mtg,funk ostentacao,funk rj"
"1BrFcFtIp3ZqvuI5C0VcK3","funk bh,funk mtg"
"2sJi2UQrxTzhekQYGLxvT6","funk bh,funk mtg"
"6sCbFbEjbYepqswM1vWjjs","pop,post-teen pop"
"1mXaaMbQM3IYuhNWaZdFuE","funk carioca,funk das antigas,funk ostentacao"
"0vdcZzmneH0nK9CYFHQBjk","agronejo,no beat"
"5kVgcCdPbeUwxBqWxi2Ktl",agronejo
"10fWVVVG2zx5VMJPL4N8wC",agronejo
"7gXnv2nAoF9X0XJQ3AMp7d",agronejo
"1b3ausgCrK4oN5Apv1GAhB","sertanejo,sertanejo pop,sertanejo tradicional,sertanejo universitario"
"68YeXpLt3jB7JHQS5ZjMGo","trap baiano,trap brasileiro"
"0nFdWpwl7h6fp3ADRyG14L",pop lgbtq+ brasileira
"1a3fr7NdeBT4JlGj6YlbDL",trap brasileiro
"5cPFz5IHZH7LE8h2DOuhDA",brega funk
"7jVv8c5Fj3E9VhNjxT4snq",lgbtq+ hip hop
"2s1GtomGAJ3fnqQBkUXbIL",funk rj
"6WRpFyCGbRCFl3LGARktzd",agronejo
"6aoGgTKGqtsjj48ymcNs4Z",funk consciente
